******
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_1010_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_0011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1011_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_1100_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0111_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_1011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1100_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_0111_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0011_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_1010_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_1010_(3, 0)_21,22_0011_(3, 1)_22,23_1100_(3, 2)_23,24_0110_(3, 3)_24,25_1101_(3, 4)_25,26_0011_(3, 5)_26,27_0110_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_1100_(3, 0)_21,22_0110_(3, 1)_22,23_1101_(3, 2)_23,24_0011_(3, 3)_24,25_0110_(3, 4)_25,26_1101_(3, 5)_26,27_1010_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_1010_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0011_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_0111_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1100_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_1101_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_0110_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0111_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_1100_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1101_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_0110_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_1010_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_1010_(5, 1)_36,37_0011_(5, 2)_37,38_1001_(5, 3)_38,39_0110_(5, 4)_39,40_0110_(5, 5)_40,41_0101_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_0011_(5, 0)_35,36_1001_(5, 1)_36,37_0110_(5, 2)_37,38_0110_(5, 3)_38,39_0101_(5, 4)_39,40_1100_(5, 5)_40,41_1010_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_1010_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_0110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_1110_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_0011_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_0110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_1110_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0101_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_0011_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_1110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_0011_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0110_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_1110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_0101_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0011_(5, 5)_40,41_1100_(5, 6)_41
42_1010_(6, 0)_42,43_0011_(6, 1)_43,44_0101_(6, 2)_44,45_1010_(6, 3)_45,46_1001_(6, 4)_46,47_1010_(6, 5)_47,48_1001_(6, 6)_48
******
0_0110_(0, 0)_0,1_0011_(0, 1)_1,2_0110_(0, 2)_2,3_0011_(0, 3)_3,4_1010_(0, 4)_4,5_0110_(0, 5)_5,6_0101_(0, 6)_6
7_1100_(1, 0)_7,8_1011_(1, 1)_8,9_1001_(1, 2)_9,10_0111_(1, 3)_10,11_0101_(1, 4)_11,12_1110_(1, 5)_12,13_1010_(1, 6)_13
14_0111_(2, 0)_14,15_1100_(2, 1)_15,16_0111_(2, 2)_16,17_1100_(2, 3)_17,18_1011_(2, 4)_18,19_0011_(2, 5)_19,20_1011_(2, 6)_20
21_0011_(3, 0)_21,22_1100_(3, 1)_22,23_0110_(3, 2)_23,24_1101_(3, 3)_24,25_0011_(3, 4)_25,26_0110_(3, 5)_26,27_1101_(3, 6)_27
28_0111_(4, 0)_28,29_0111_(4, 1)_29,30_0111_(4, 2)_30,31_0110_(4, 3)_31,32_1011_(4, 4)_32,33_1110_(4, 5)_33,34_1011_(4, 6)_34
35_1010_(5, 0)_35,36_0011_(5, 1)_36,37_1001_(5, 2)_37,38_0110_(5, 3)_38,39_0110_(5, 4)_39,40_0101_(5, 5)_40,41_1100_(5, 6)_41
